Date,Open,High,Low,Close,Adj Close,Volume
1998-01-20,77.812500,78.843750,77.406250,78.812500,48.053974,1744600
1998-01-21,78.093750,78.375000,77.281250,77.843750,47.463261,1839600
1998-01-22,77.187500,77.859375,76.937500,77.187500,47.063145,1662600
1998-01-23,77.500000,77.750000,76.312500,77.000000,46.948849,1693700
1998-01-26,77.375000,77.671875,76.937500,77.312500,47.139366,1172800
1998-01-27,77.125000,78.562500,77.078125,78.218750,47.691952,1454500
1998-01-28,78.375000,79.234375,78.218750,79.125000,48.244480,1181200
1998-01-29,79.062500,80.250000,78.890625,79.406250,48.415966,1468500
1998-01-30,79.937500,79.937500,78.968750,79.234375,48.311180,1095600
1998-02-02,80.625000,81.312500,80.406250,81.015625,49.397263,955600
1998-02-03,81.000000,81.671875,80.656250,81.656250,49.787868,619400
1998-02-04,81.218750,81.656250,80.812500,81.218750,49.521088,753200
1998-02-05,81.812500,81.906250,80.734375,81.234375,49.530624,1067600
1998-02-06,81.500000,82.171875,81.359375,82.109375,50.064121,1069700
1998-02-09,82.093750,82.250000,81.437500,81.781250,49.864048,515900
1998-02-10,82.031250,83.343750,81.921875,83.156250,50.702484,892100
1998-02-11,82.968750,83.390625,82.843750,83.156250,50.702484,515000
1998-02-12,82.734375,84.109375,82.375000,83.687500,51.026402,1065000
1998-02-13,83.343750,83.843750,83.171875,83.640625,50.997787,596700
1998-02-17,84.312500,84.718750,83.890625,84.062500,51.255013,840600
1998-02-18,84.078125,84.703125,83.843750,84.625000,51.597969,773000
1998-02-19,84.640625,84.703125,83.828125,83.828125,51.112118,804800
1998-02-20,84.078125,84.468750,83.312500,84.281250,51.388390,540600
1998-02-23,85.000000,85.000000,83.968750,84.250000,51.369331,639200
1998-02-24,84.125000,84.406250,83.531250,84.000000,51.216915,702700
1998-02-25,84.250000,85.156250,84.078125,84.687500,51.636116,687400
1998-02-26,84.609375,85.218750,84.406250,85.156250,51.921925,439800
1998-02-27,85.109375,85.953125,84.890625,85.593750,52.188610,451300
1998-03-02,85.750000,85.859375,85.281250,85.718750,52.264877,1062800
1998-03-03,85.218750,86.125000,85.187500,86.109375,52.503040,596600
1998-03-04,85.625000,85.875000,85.109375,85.531250,52.150524,691700
1998-03-05,84.500000,85.265625,84.218750,84.781250,51.693268,778300
1998-03-06,85.093750,86.031250,85.093750,86.031250,52.455418,933100
1998-03-09,85.625000,86.578125,85.593750,85.875000,52.360115,685300
1998-03-10,86.375000,86.750000,86.156250,86.718750,52.874577,563700
1998-03-11,86.937500,87.234375,86.734375,87.000000,53.046062,406600
1998-03-12,86.937500,87.062500,86.312500,86.890625,52.979404,576700
1998-03-13,87.187500,87.250000,86.093750,86.156250,52.531628,458900
1998-03-16,86.562500,87.468750,86.343750,87.468750,53.331917,733000
1998-03-17,87.281250,87.781250,87.078125,87.765625,53.512882,499900
1998-03-18,87.593750,88.015625,87.281250,87.984375,53.646313,410900
1998-03-19,88.000000,88.296875,87.843750,88.234375,53.798752,730000
1998-03-20,88.562500,89.406250,88.281250,89.156250,54.360809,754300
1998-03-23,89.187500,89.187500,88.390625,88.484375,53.951107,551600
1998-03-24,88.968750,89.859375,88.921875,89.437500,54.532284,470300
1998-03-25,90.062500,90.062500,88.250000,88.875000,54.189285,966200
1998-03-26,88.843750,89.296875,88.515625,88.625000,54.036858,412800
1998-03-27,89.343750,89.406250,87.875000,88.265625,53.817772,584100
1998-03-30,88.281250,88.562500,87.687500,88.156250,53.751060,562400
1998-03-31,88.468750,89.312500,88.062500,88.187500,53.770138,620000
1998-04-01,88.359375,89.203125,87.718750,88.937500,54.227402,373700
1998-04-02,88.906250,90.250000,88.828125,90.156250,54.970531,440600
