,LogisticRegression,RandomForestClassifier,AdaBoostClassifier,SVM
SPY,0.0549471378326416,62.131242990493774,14.767003774642944,208.8908131122589
DIA,0.05189108848571777,57.56784009933472,13.678032159805298,657.7242701053619
QQQ,0.055670976638793945,65.09086990356445,14.251785278320312,268.06124997138977
TLT,0.06246805191040039,48.51538300514221,11.75724983215332,133.31038212776184
IWM,0.05581974983215332,60.43637704849243,14.150270938873291,240.45373725891113
