,symbol,lookback,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
0,SPY,10,16,500,0.001,0.18470119485883577,0.41519800936702356,0.7430750727653503,0.7274368405342102,0.7225853204727173
1,DIA,5,16,500,0.001,-0.036165339914939885,0.16265262347279172,0.8573596477508545,0.8560606241226196,0.8461070656776428
2,QQQ,5,16,500,0.001,0.22596210839857422,0.09800945565152092,0.7906976938247681,0.7955271601676941,0.7759283185005188
3,TLT,10,16,500,0.001,0.03565486149336684,-0.17452813959212185,0.8841038346290588,0.9051233530044556,0.8815889954566956
4,IWM,5,16,500,0.001,0.11256496947837764,0.07786572877122262,0.7916823625564575,0.7817258834838867,0.7746096253395081
