,LogisticRegression,RandomForestClassifier,AdaBoostClassifier,SVM
SPY,0.4806451612903226,0.7567204301075269,0.9435483870967742,0.7244623655913979
DIA,0.6557696999268114,0.7779946328372774,0.9721883386191754,0.7675042693339839
QQQ,0.5653232949512843,0.7420283436669619,0.9550487156775908,0.7316209034543845
TLT,0.7576985413290114,0.8192868719611021,0.9864937871420854,0.8514316585629389
IWM,0.5741993685160126,0.7379341452413171,0.949255751014885,0.7365809652683807
